l5e1,l5e2,l5e3,l5e4,l5e5,l5e6,l5e7,l5e8,l7e1,l7e2,l7e3,l7e4,l7e5,l7e6,l7e7,l7e8,maj_class
947,1213,440,1169,1178,693,1720,1621,1068,1412,889,1000,845,968,1328,1720,297
793,1540,865,1223,1126,1650,1153,607,1122,1583,1255,982,1247,988,1112,991,472
1744,1472,1376,1183,1057,401,870,459,1027,1527,705,1152,876,1028,1228,1694,991
894,792,725,965,1118,1576,1390,1560,1146,1573,1351,1149,737,930,1443,927,485
1234,1182,497,1280,1168,1690,1427,673,1138,1501,900,1168,702,1139,1389,1343,143
1744,1304,1262,884,960,803,1064,925,1109,1554,1093,835,1107,902,1133,1547,390
754,1276,554,1090,1358,1187,1592,1343,1039,1344,889,1024,1052,923,1312,1629,361
475,1271,450,1744,1387,1744,970,656,1107,1460,1091,1016,1436,923,1312,935,540
770,1539,1128,1290,842,1667,1066,851,1175,1402,1293,983,1376,964,1149,938,472
884,1478,451,1236,904,765,1667,1651,1110,1482,923,961,775,950,1319,1712,297
1744,1558,1093,1129,901,394,925,642,976,1498,913,1053,884,1001,1195,1708,991
1281,1269,671,1259,1098,1557,1270,765,1065,1338,886,1217,790,1109,1320,1555,143
1067,1055,506,776,861,1640,1206,1744,1107,1470,1540,1164,766,919,1355,959,485
954,1511,573,914,1211,1014,1667,1254,1095,1273,888,919,949,1038,1326,1679,361
486,1155,602,1638,1422,1744,1006,681,1061,1513,1065,1032,1496,909,1248,956,540
1744,1592,920,801,897,854,1079,1125,1053,1367,1088,1035,1190,954,1119,1474,390
770,1707,324,1016,923,814,1744,1632,1193,1315,915,956,856,908,1411,1685,297
900,810,580,1033,900,1686,1212,1703,1147,1450,1485,1137,694,972,1449,921,485
971,1004,444,1335,1309,1637,1507,856,1169,1372,735,1128,801,1191,1447,1437,143
655,1447,763,1010,1274,915,1570,1493,991,1379,919,894,1088,945,1287,1688,361
1744,1744,1339,1031,1096,371,737,493,979,1497,895,1092,987,948,1137,1659,991
679,1617,758,1292,928,1594,1168,841,1183,1440,1180,1092,1337,1002,1120,926,472
1727,1439,1175,845,824,821,1044,1048,1129,1381,1209,962,1158,993,1202,1246,390
561,1099,588,1648,1343,1744,1101,715,1087,1551,993,940,1494,860,1266,1089,540
983,1526,442,1033,1241,889,1650,1422,1084,1427,951,960,862,1055,1335,1589,361
857,1289,437,1413,1095,1646,1474,754,1170,1450,887,1151,784,1035,1365,1438,143
893,1282,752,1248,810,1744,1148,982,1139,1474,1305,945,1281,1018,1233,885,472
893,1309,400,1015,1107,628,1706,1744,1138,1296,986,860,887,1021,1281,1711,297
1744,1634,1111,1169,885,480,886,588,987,1539,1016,1052,936,933,1182,1631,991
1135,876,749,827,860,1614,1165,1721,1122,1307,1533,1043,860,1000,1378,970,485
1744,1554,1205,814,812,923,1028,746,1092,1361,1281,886,1149,1041,1123,1347,390
629,1072,531,1691,1493,1744,1323,491,1102,1621,1084,1013,1257,899,1306,998,540
953,1102,625,1085,1184,1269,1563,1499,1048,1363,821,973,1077,974,1313,1639,361
1208,1641,463,1211,1138,1593,1306,655,1136,1295,883,1121,767,1194,1391,1493,143
1744,1617,1443,1159,961,321,792,498,942,1444,841,1029,988,945,1178,1741,991
1158,859,669,932,912,1657,1311,1565,1124,1443,1538,1099,764,935,1374,959,485
718,1663,408,1079,962,772,1671,1653,1082,1423,947,942,879,963,1216,1731,297
767,1658,911,1321,1003,1637,965,742,1108,1512,1242,1006,1296,975,1101,1040,472
1744,1535,1300,938,795,790,1111,722,1029,1392,1257,999,1183,953,1095,1372,390
549,1289,430,1653,1505,1744,1090,554,1046,1529,1021,1102,1353,899,1300,1030,540
1110,1165,469,1241,1103,1643,1521,697,1115,1503,884,1184,674,1132,1426,1362,143
829,1394,568,1054,1302,1173,1645,1298,1082,1325,888,938,979,953,1386,1633,361
1744,1636,1455,1078,923,244,741,551,987,1428,863,1176,891,989,1190,1741,991
724,1531,811,1240,960,1744,1148,784,1132,1388,1261,1029,1333,1052,1127,958,472
753,1418,373,1035,1111,780,1744,1604,1139,1419,974,986,803,991,1220,1649,297
922,1057,701,873,815,1696,1078,1744,1096,1406,1522,1079,823,1012,1297,1045,485
1709,1603,1052,856,973,585,1275,960,1011,1502,1280,986,948,1012,1136,1405,390
833,1605,566,958,1241,716,1720,1312,1081,1432,1011,962,953,960,1366,1515,361
1260,1374,427,1223,1061,1587,1390,699,1053,1396,926,1195,680,1209,1387,1403,143
1143,916,698,885,923,1625,1166,1744,1084,1355,1488,1125,864,1027,1341,954,485
1061,1299,387,1184,964,920,1674,1629,1052,1350,907,897,985,919,1191,1744,297
695,1671,774,1190,877,1705,1198,748,1164,1347,1316,992,1270,1124,1127,940,472
514,1289,606,1616,1513,1744,1063,556,1041,1547,1080,1106,1346,895,1253,1012,540
1744,1582,1313,1047,999,315,922,516,936,1525,807,1146,859,1031,1171,1738,991
740,1367,648,955,1270,953,1644,1567,1132,1452,907,900,956,908,1283,1671,361
1744,1133,1162,1053,881,805,937,1112,1002,1399,1392,868,1281,883,1180,1275,390
1138,1192,497,1327,1112,1588,1473,870,1088,1417,969,1139,841,1013,1444,1369,143
847,1061,611,1031,911,1455,1278,1717,1100,1440,1511,1040,786,999,1297,1102,485
1209,1210,300,1156,1024,789,1681,1603,1083,1385,843,922,763,959,1266,1744,297
546,1042,551,1675,1552,1738,1101,607,1016,1564,1021,1083,1461,829,1310,979,540
632,1359,1014,1373,968,1676,957,982,1174,1402,1344,906,1404,940,1245,865,472
750,1441,766,935,1272,1037,1551,1448,1068,1263,900,1002,1034,972,1464,1577,361
1744,1672,1058,1156,998,306,894,683,949,1597,862,1186,870,930,1145,1722,991
1744,1305,1325,990,911,649,869,1103,1116,1374,1207,850,1206,946,1117,1464,390
1038,797,586,917,1059,1586,1226,1695,1033,1444,1458,1137,829,989,1387,1003,485
1180,1069,429,1327,1166,1624,1555,766,1131,1387,837,1226,681,1157,1430,1431,143
937,1190,459,965,971,720,1744,1695,1158,1336,915,870,852,942,1309,1715,297
545,1258,542,1675,1224,1744,1092,578,1129,1466,1155,998,1362,883,1335,947,540
1653,1529,1177,1065,1089,219,1054,569,1001,1550,853,1128,845,974,1185,1605,991
832,1227,522,1064,1317,1102,1590,1508,1051,1321,885,917,997,1035,1277,1651,361
1087,1142,421,1458,1236,1641,1403,622,1086,1334,1019,1209,783,1144,1485,1220,143
983,1070,543,981,1004,1651,1214,1584,1117,1478,1638,1041,886,944,1257,899,485
744,1667,875,1158,826,1622,1227,811,1109,1316,1379,979,1324,1052,1162,959,472
1713,1388,959,902,860,881,1172,1076,1036,1503,1206,1080,1028,1015,1142,1270,390
766,980,391,971,1181,847,1728,1709,1113,1407,880,858,912,946,1380,1700,297
601,1084,539,1657,1459,1665,1254,613,1095,1454,1037,950,1453,899,1225,1167,540
1744,1536,1283,979,1218,435,978,558,974,1540,795,1117,911,959,1188,1671,991
788,1436,515,1097,1267,948,1569,1413,1017,1308,1078,958,1126,865,1375,1499,361
642,1522,735,1177,1161,1715,1279,802,1071,1451,1297,1000,1368,1041,1123,929,472
966,982,424,1236,1145,1744,1586,673,1123,1346,731,1329,680,1290,1385,1396,143
1067,951,817,974,688,1684,1204,1700,1074,1327,1616,1071,886,930,1302,1071,485
1011,1230,320,1060,1086,858,1744,1649,1072,1227,1006,808,1017,864,1182,1744,297
1717,1492,944,953,953,646,1040,979,1099,1390,1301,886,1197,935,1194,1278,390
538,1252,502,1719,1317,1744,1004,584,1075,1431,1042,1080,1517,977,1201,944,540
1744,1619,1345,1101,940,313,855,506,935,1528,870,1161,848,1113,1095,1691,991
1093,1115,525,1209,1337,1463,1445,841,1072,1410,790,1282,717,1198,1487,1324,143
716,1450,639,1076,1378,1111,1480,1318,1014,1380,816,1031,1106,902,1306,1724,361
861,1680,705,1278,1038,1653,1099,572,1144,1424,1407,952,1274,1096,1138,845,472
999,808,569,911,1000,1630,1289,1709,1138,1517,1314,1169,573,1055,1553,961,485
899,1353,333,1074,1041,1024,1653,1610,1114,1479,907,1008,770,1069,1284,1601,297
507,1309,517,1742,1367,1744,1159,546,1028,1431,948,1124,1359,1020,1417,953,540
1744,1443,1265,1060,1166,458,799,596,978,1445,875,1240,891,1001,1061,1738,991
1744,1429,829,1051,895,861,1294,958,1102,1501,1174,895,1075,880,1203,1450,390
865,1260,496,1375,1086,1559,1563,744,1134,1368,1002,1142,746,1114,1428,1346,143
855,1507,589,966,1333,724,1635,1286,1104,1226,915,990,1068,979,1275,1671,361
